"filename", "language", "JavaScript", "JSON", "Markdown", "C", "comment", "blank", "total"
"c:\Users\adam_\AppData\Roaming\.minecraft\config\ChatTriggers\modules_old\soopyAddons\.soopyAddons-settings.json", "JSON", 0, 645, 0, 0, 0, 0, 645
"c:\Users\adam_\AppData\Roaming\.minecraft\config\ChatTriggers\modules_old\soopyAddons\README.md", "Markdown", 0, 0, 3, 0, 0, 2, 5
"c:\Users\adam_\AppData\Roaming\.minecraft\config\ChatTriggers\modules_old\soopyAddons\agentlai.js", "JavaScript", 1, 0, 0, 0, 2, 0, 3
"c:\Users\adam_\AppData\Roaming\.minecraft\config\ChatTriggers\modules_old\soopyAddons\asm.js", "JavaScript", 0, 0, 0, 0, 38, 1, 39
"c:\Users\adam_\AppData\Roaming\.minecraft\config\ChatTriggers\modules_old\soopyAddons\bombDefuse.js", "JavaScript", 247, 0, 0, 0, 5, 39, 291
"c:\Users\adam_\AppData\Roaming\.minecraft\config\ChatTriggers\modules_old\soopyAddons\changelog.json", "JSON", 0, 695, 0, 0, 0, 0, 695
"c:\Users\adam_\AppData\Roaming\.minecraft\config\ChatTriggers\modules_old\soopyAddons\config.js", "JavaScript", 64, 0, 0, 0, 0, 3, 67
"c:\Users\adam_\AppData\Roaming\.minecraft\config\ChatTriggers\modules_old\soopyAddons\createDiscordChangeLog.js", "JavaScript", 16, 0, 0, 0, 2, 1, 19
"c:\Users\adam_\AppData\Roaming\.minecraft\config\ChatTriggers\modules_old\soopyAddons\currGrindDisplay.js", "JavaScript", 120, 0, 0, 0, 2, 24, 146
"c:\Users\adam_\AppData\Roaming\.minecraft\config\ChatTriggers\modules_old\soopyAddons\disable.js", "JavaScript", 1, 0, 0, 0, 2, 1, 4
"c:\Users\adam_\AppData\Roaming\.minecraft\config\ChatTriggers\modules_old\soopyAddons\f1.js", "JavaScript", 2, 0, 0, 0, 0, 1, 3
"c:\Users\adam_\AppData\Roaming\.minecraft\config\ChatTriggers\modules_old\soopyAddons\guildLb.js", "JavaScript", 349, 0, 0, 0, 14, 86, 449
"c:\Users\adam_\AppData\Roaming\.minecraft\config\ChatTriggers\modules_old\soopyAddons\index.js", "JavaScript", 4678, 0, 0, 0, 356, 799, 5833
"c:\Users\adam_\AppData\Roaming\.minecraft\config\ChatTriggers\modules_old\soopyAddons\json.c", "C", 0, 0, 0, 0, 1, 1, 2
"c:\Users\adam_\AppData\Roaming\.minecraft\config\ChatTriggers\modules_old\soopyAddons\metadata.json", "JSON", 0, 15, 0, 0, 0, 0, 15
"c:\Users\adam_\AppData\Roaming\.minecraft\config\ChatTriggers\modules_old\soopyAddons\minewaypoints_index.js", "JavaScript", 71, 0, 0, 0, 3, 14, 88
"c:\Users\adam_\AppData\Roaming\.minecraft\config\ChatTriggers\modules_old\soopyAddons\minewaypoints_socket.js", "JavaScript", 41, 0, 0, 0, 0, 10, 51
"c:\Users\adam_\AppData\Roaming\.minecraft\config\ChatTriggers\modules_old\soopyAddons\mortGui.js", "JavaScript", 731, 0, 0, 0, 16, 98, 845
"c:\Users\adam_\AppData\Roaming\.minecraft\config\ChatTriggers\modules_old\soopyAddons\settings.js", "JavaScript", 527, 0, 0, 0, 10, 80, 617
"c:\Users\adam_\AppData\Roaming\.minecraft\config\ChatTriggers\modules_old\soopyAddons\updateDetecter.js", "JavaScript", 817, 0, 0, 0, 0, 4, 821
"Total", "-", 7665, 1355, 3, 0, 451, 1164, 10638